testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-23,Cattaraugus County,0,78,172,3251
2020-05-23,Cayuga County,1,77,143,3079
2020-05-23,Chautauqua County,3,75,134,3396
2020-05-23,Chemung County,0,136,215,4983
2020-05-23,Chenango County,0,118,226,2824
2020-05-23,Clinton County,0,95,131,2595
2020-05-23,Columbia County,6,365,94,3354
2020-05-23,Cortland County,1,39,147,2910
2020-05-23,Delaware County,3,77,80,2027
2020-05-23,Dutchess County,14,3807,874,26283
2020-05-23,Erie County,74,5626,1742,48791
2020-05-23,Essex County,0,36,182,2058
2020-05-23,Franklin County,0,20,178,2294
2020-05-23,Fulton County,1,194,84,2397
2020-05-23,Genesee County,0,191,181,3080
2020-05-23,Greene County,3,220,55,2320
2020-05-23,Hamilton County,0,5,3,403
2020-05-23,Herkimer County,1,101,143,2409
2020-05-23,Jefferson County,0,72,305,4784
2020-05-23,Kings County,273,54175,6813,220882
2020-05-23,Lewis County,0,19,77,1703
2020-05-23,Livingston County,0,114,65,2862
2020-05-23,Madison County,0,301,105,3316
2020-05-23,Monroe County,36,2697,846,41924
2020-05-23,Montgomery County,2,79,131,2156
2020-05-23,Nassau County,111,39837,3739,151550
2020-05-23,New York County,103,25909,4187,137252
2020-05-23,Niagara County,14,941,355,10662
2020-05-23,Oneida County,14,878,659,12953
2020-05-23,Onondaga County,49,1953,1352,29961
2020-05-23,Ontario County,2,184,201,4989
2020-05-23,Orange County,28,10225,638,43641
2020-05-23,Orleans County,6,202,129,1839
2020-05-23,Oswego County,1,100,479,4407
2020-05-23,Otsego County,1,69,51,2908
2020-05-23,Putnam County,8,1208,161,7570
2020-05-23,Queens County,214,60636,5270,217728
2020-05-23,Rensselaer County,0,463,363,8323
2020-05-23,Richmond County,51,13266,1120,51988
2020-05-23,Rockland County,29,12963,735,47111
2020-05-23,Saratoga County,4,456,316,10681
2020-05-23,Schenectady County,10,658,641,9766
2020-05-23,Schoharie County,0,49,29,1220
2020-05-23,Schuyler County,0,11,45,1146
2020-05-23,Seneca County,1,55,103,1556
2020-05-23,St. Lawrence County,1,197,301,7792
2020-05-23,Steuben County,0,240,83,4754
2020-05-23,Suffolk County,162,38964,3865,153692
2020-05-23,Sullivan County,13,1310,155,6771
2020-05-23,Tioga County,1,122,79,2389
2020-05-23,Tompkins County,2,151,246,8630
2020-05-23,Ulster County,11,1617,470,15771
2020-05-23,Warren County,1,250,159,3958
2020-05-23,Washington County,1,226,213,2609
2020-05-23,Wayne County,1,108,107,3719
2020-05-23,Westchester County,87,32968,2542,139160
2020-05-23,Wyoming County,1,81,113,1938
2020-05-23,Yates County,0,37,58,927
2020-05-22,Albany County,14,1770,655,20888
2020-05-22,Allegany County,0,44,26,1352
2020-05-22,Bronx County,155,43921,3518,155839
2020-05-22,Broome County,17,485,645,10630
2020-05-22,Cattaraugus County,4,78,176,3079
2020-05-22,Cayuga County,3,76,356,2936
2020-05-22,Chautauqua County,9,72,217,3262
2020-05-22,Chemung County,1,136,233,4768
2020-05-22,Chenango County,0,118,143,2598
2020-05-22,Clinton County,1,95,135,2464
2020-05-22,Columbia County,3,359,96,3260
2020-05-22,Cortland County,1,38,223,2763
2020-05-22,Delaware County,2,74,51,1947
2020-05-22,Dutchess County,26,3793,549,25409
2020-05-22,Erie County,155,5552,2767,47049
2020-05-22,Essex County,0,36,89,1876
2020-05-22,Franklin County,1,20,83,2116
2020-05-22,Fulton County,4,193,142,2313
2020-05-22,Genesee County,2,191,271,2899
2020-05-22,Greene County,2,217,69,2265
2020-05-22,Hamilton County,0,5,38,400
2020-05-22,Herkimer County,5,100,212,2266
2020-05-22,Jefferson County,0,72,331,4479
2020-05-22,Kings County,263,53902,6189,214069
2020-05-22,Lewis County,0,19,62,1626
2020-05-22,Livingston County,0,114,84,2797
2020-05-22,Madison County,4,301,200,3211
2020-05-22,Monroe County,60,2661,1198,41078
2020-05-22,Montgomery County,0,77,79,2025
2020-05-22,Nassau County,118,39726,4188,147811
2020-05-22,New York County,134,25806,4582,133065
2020-05-22,Niagara County,30,927,501,10307
2020-05-22,Oneida County,36,864,1305,12294
2020-05-22,Onondaga County,76,1904,2502,28609
2020-05-22,Ontario County,2,182,125,4788
2020-05-22,Orange County,55,10197,764,43003
2020-05-22,Orleans County,21,196,85,1710
2020-05-22,Oswego County,3,99,302,3928
2020-05-22,Otsego County,1,68,90,2857
2020-05-22,Putnam County,13,1200,236,7409
2020-05-22,Queens County,186,60422,5388,212458
2020-05-22,Rensselaer County,3,463,386,7960
2020-05-22,Richmond County,44,13215,1232,50868
2020-05-22,Rockland County,29,12934,814,46376
2020-05-22,Saratoga County,4,452,254,10365
2020-05-22,Schenectady County,3,648,248,9125
2020-05-22,Schoharie County,0,49,23,1191
2020-05-22,Schuyler County,0,11,78,1101
2020-05-22,Seneca County,0,54,51,1453
2020-05-22,St. Lawrence County,1,196,333,7491
2020-05-22,Steuben County,0,240,114,4671
2020-05-22,Suffolk County,130,38802,4005,149827
2020-05-22,Sullivan County,10,1297,148,6616
2020-05-22,Tioga County,3,121,96,2310
2020-05-22,Tompkins County,2,149,410,8384
2020-05-22,Ulster County,11,1606,418,15301
2020-05-22,Warren County,3,249,114,3799
2020-05-22,Washington County,1,225,70,2396
2020-05-22,Wayne County,3,107,163,3612
2020-05-22,Westchester County,114,32881,3234,136618
2020-05-22,Wyoming County,1,80,150,1825
2020-05-22,Yates County,3,37,22,869
2020-05-21,Albany County,56,1756,920,20233
2020-05-21,Allegany County,0,44,47,1326
2020-05-21,Bronx County,163,43766,3421,152321
2020-05-21,Broome County,17,468,820,9985
2020-05-21,Cattaraugus County,3,74,125,2903
2020-05-21,Cayuga County,1,73,245,2580
2020-05-21,Chautauqua County,5,63,190,3045
2020-05-21,Chemung County,1,135,141,4535
2020-05-21,Chenango County,0,118,219,2455
2020-05-21,Clinton County,0,94,131,2329
2020-05-21,Columbia County,1,356,78,3164
2020-05-21,Cortland County,1,37,86,2540
2020-05-21,Delaware County,1,72,124,1896
2020-05-21,Dutchess County,22,3767,556,24860
2020-05-21,Erie County,127,5397,2175,44282
2020-05-21,Essex County,0,36,115,1787
2020-05-21,Franklin County,0,19,194,2033
2020-05-21,Fulton County,3,189,88,2171
2020-05-21,Genesee County,1,189,42,2628
2020-05-21,Greene County,0,215,48,2196
2020-05-21,Hamilton County,0,5,8,362
2020-05-21,Herkimer County,2,95,77,2054
2020-05-21,Jefferson County,1,72,319,4148
2020-05-21,Kings County,254,53639,5372,207880
2020-05-21,Lewis County,1,19,101,1564
2020-05-21,Livingston County,0,114,75,2713
2020-05-21,Madison County,3,297,135,3011
2020-05-21,Monroe County,71,2601,2061,39880
2020-05-21,Montgomery County,0,77,130,1946
2020-05-21,Nassau County,121,39608,3097,143623
2020-05-21,New York County,150,25672,4363,128483
2020-05-21,Niagara County,17,897,655,9806
2020-05-21,Oneida County,11,828,815,10989
2020-05-21,Onondaga County,57,1828,1344,26107
2020-05-21,Ontario County,4,180,191,4663
2020-05-21,Orange County,50,10142,753,42239
2020-05-21,Orleans County,1,175,50,1625
2020-05-21,Oswego County,4,96,215,3626
2020-05-21,Otsego County,0,67,102,2767
2020-05-21,Putnam County,12,1187,156,7173
2020-05-21,Queens County,211,60236,5181,207070
2020-05-21,Rensselaer County,4,460,379,7574
2020-05-21,Richmond County,31,13171,877,49636
2020-05-21,Rockland County,28,12905,790,45562
2020-05-21,Saratoga County,8,448,351,10111
2020-05-21,Schenectady County,7,645,667,8877
2020-05-21,Schoharie County,0,49,27,1168
2020-05-21,Schuyler County,1,11,49,1023
2020-05-21,Seneca County,2,54,54,1402
2020-05-21,St. Lawrence County,0,195,349,7158
2020-05-21,Steuben County,2,240,161,4557
2020-05-21,Suffolk County,119,38672,3022,145822
